fiyat,net_metrekare,oda_sayısı,dairenin_katı,ısıtma,banyo_sayısı,tipi,bina_yaşı,site_içerisinde,yapı_durumu,takas,wc_sayısı,yapı_tipi,aidat,eşya_durumu
1900000.0,115.0,3,2,1,2,1,0,1,1,0,2,0,1,0
1450000.0,120.0,2,2,1,1,1,1,1,1,0,2,0,1,0
2348000.0,120.0,3,2,1,2,1,1,1,1,1,2,0,1,0
1645000.0,80.0,2,2,1,1,1,0,1,1,1,2,0,1,0
1875000.0,85.0,2,2,1,1,1,1,1,1,1,1,0,1,1
1100000.0,65.0,1,2,2,1,1,0,1,0,1,1,0,1,1
4500000.0,350.0,4,2,1,1,1,0,1,1,1,2,0,1,0
1750000.0,90.0,2,2,1,1,1,1,1,1,1,1,0,1,0
1200000.0,55.0,1,2,1,1,1,0,1,1,1,2,0,1,0
1750000.0,95.0,2,2,1,1,1,0,1,1,1,2,0,1,0
1249000.0,110.0,3,2,1,1,1,1,1,1,1,2,0,1,0
3100000.0,120.0,3,2,1,1,1,1,1,1,0,2,0,1,0
1990000.0,90.0,3,2,1,2,1,1,0,1,0,2,0,1,0
2690000.0,165.0,3,2,1,2,1,2,0,1,0,2,0,1,0
1950000.0,90.0,2,2,1,1,1,1,1,1,0,2,0,1,0
1895000.0,115.0,3,2,1,1,1,1,1,1,1,1,0,1,0
5500000.0,260.0,4,2,1,2,1,0,1,1,0,2,0,1,0
1549000.0,90.0,2,2,1,1,1,0,1,1,1,2,0,1,0
3250000.0,130.0,3,2,1,2,1,1,1,1,0,2,0,1,0
1995000.0,60.0,1,2,1,1,1,2,0,1,1,2,0,1,0
1350000.0,115.0,3,2,3,1,1,1,1,1,1,2,0,1,0
1080000.0,90.0,2,2,3,1,1,1,1,1,1,2,0,1,0
1550000.0,125.0,3,2,3,1,1,1,0,1,1,2,0,1,0
1350000.0,110.0,3,2,3,1,1,1,0,1,1,2,0,1,0
370000.0,128.0,0,2,3,1,1,0,1,1,1,2,0,1,0
2000000.0,110.0,2,2,1,2,1,0,0,1,1,2,0,1,0
2900000.0,145.0,3,2,1,2,1,2,1,1,1,2,0,1,0
1785000.0,100.0,2,2,1,2,1,0,1,1,1,2,0,1,0
1595000.0,92.0,2,2,1,1,1,1,1,1,1,2,0,1,0
1695000.0,125.0,3,2,1,1,1,1,1,1,1,2,0,1,0
1650000.0,80.0,2,2,1,1,1,1,1,1,1,1,0,1,0
1800000.0,125.0,3,2,1,2,1,2,1,1,0,2,0,1,0
1800000.0,125.0,3,2,1,2,1,2,1,1,0,2,0,1,0
1550000.0,340.0,4,4,3,2,1,1,1,1,0,2,0,1,0
1675000.0,70.0,2,2,1,1,1,2,1,1,0,1,0,1,0
1675000.0,90.0,2,2,1,1,1,1,1,1,0,1,0,1,0
2500000.0,135.0,3,2,1,1,1,1,1,1,1,1,0,1,0
1600000.0,110.0,3,2,0,1,1,1,0,1,1,2,0,1,0
1300000.0,80.0,1,2,1,1,1,0,1,1,1,2,0,1,0
2390000.0,135.0,3,2,1,1,1,0,1,1,1,2,0,1,0
1850000.0,85.0,2,2,1,1,1,0,1,1,1,2,0,1,0
2300000.0,150.0,3,2,0,2,1,2,1,1,1,2,0,1,0
1895000.0,110.0,2,2,1,1,1,2,1,1,0,1,0,1,0
2300000.0,80.0,2,2,3,1,4,1,1,1,1,2,0,1,0
1630000.0,70.0,2,2,1,1,1,0,1,1,0,1,0,1,0
2599000.0,140.0,3,2,1,1,1,2,1,1,1,1,0,1,0
1700000.0,100.0,2,2,1,1,1,0,1,1,1,1,0,1,0
1550000.0,98.0,2,2,1,0,1,2,1,1,1,2,0,1,0
2350000.0,100.0,2,2,3,1,1,1,1,1,1,2,0,1,0
1290000.0,129.0,3,2,1,1,1,1,1,1,1,2,0,1,0
1825000.0,85.0,2,2,1,1,1,1,1,1,1,2,0,1,0
1735000.0,90.0,2,2,1,1,1,0,1,1,1,2,0,1,0
1950000.0,120.0,3,2,3,1,1,1,1,1,1,2,0,1,0
